ID,Name,Maps,Adresse,Name,Straße,PLZ,Ort,Erstellt am
1178,3,Grundschulen,"Inchenhofen Grundschule, Schulstraße 3, 86570 Inchenhofen, Deutschland",3,Schulstraße,86570,Inchenhofen,14. Juli 2023
1179,2,Grundschulen,"Grundschule Kissing, Pestalozzistraße 2, 86438 Kissing, Deutschland",2,Pestalozzistraße,86438,Kissing,14. Juli 2023
1180,50,Grundschulen,"Schulstraße 50, 86556 Kühbach, Deutschland",50,Schulstraße,86556,Kühbach,14. Juli 2023
1181,50,Mittelschulen,"Schulstraße 50, 86556 Kühbach, Deutschland",50,Schulstraße,86556,Kühbach,14. Juli 2023
1182,,Grundschulen,"Elementary and middle school Merching, Kirchstraße 15, 86504 Merching, Deutschland",,"Elementary and middle school Merching, Kirchstraße 15, 86504 Merching, Deutschland",,,14. Juli 2023
1183,,Mittelschulen,"Elementary and middle school Merching, Kirchstraße 15, 86504 Merching, Deutschland",,"Elementary and middle school Merching, Kirchstraße 15, 86504 Merching, Deutschland",,,14. Juli 2023
1184,,Grundschulen,"Grundschule Mering, Amberieustraße 9, 86415 Mering, Deutschland",,"Grundschule Mering, Amberieustraße 9, 86415 Mering, Deutschland",,,15. Juli 2023
1185,,Grundschulen,"Luitpold-Grundschule Mering, Luitpoldstraße 2, 86415 Mering, Deutschland",,"Luitpold-Grundschule Mering, Luitpoldstraße 2, 86415 Mering, Deutschland",,,15. Juli 2023
1186,13,Grundschulen,"Wanderweg 13, 86316 Friedberg, Deutschland",13,Wanderweg,86316,Friedberg,15. Juli 2023
1187,20,Grundschulen,"Schulstraße 20, 86574 Petersdorf, Deutschland",20,Schulstraße,86574,Willprechtszell,15. Juli 2023
1188,28,Grundschulen,"Gartenstraße 28, 86554 Pöttmes, Deutschland",28,Gartenstraße,86554,Pöttmes,15. Juli 2023
1189,28,Mittelschulen,"Gartenstraße 28, 86554 Pöttmes, Deutschland",28,Gartenstraße,86554,Pöttmes,15. Juli 2023
1190,1,Grundschulen,"Schulstraße 1, 86508 Rehling, Deutschland",1,Schulstraße,86508,Sägmühl,15. Juli 2023
1191,13,Grundschulen,"Sportheimstraße 13, Ried, Deutschland",13,Sportheimstraße,86510,Ried,15. Juli 2023
1192,13,Grundschulen,"Obere Ortsstraße 13, 86576 Schiltberg, Deutschland",13,Obere Ortsstraße,86576,Höfarten,15. Juli 2023
1193,6a,Grundschulen,"Schloßberg 6a, 86316 Friedberg, Deutschland",6a,Schloßberg,86316,Friedberg,15. Juli 2023
1194,6a,Mittelschulen,"Schloßberg 6a, 86316 Friedberg, Deutschland",6a,Schloßberg,86316,Friedberg,15. Juli 2023
1195,26 1/2,Grundschulen,"Ulrichstraße 26, 86316 Friedberg, Deutschland",26 1/2,Ulrichstraße,86316,Friedberg,15. Juli 2023
1196,,Mittelschulen,"Jahnstraße 10, 86399 Bobingen, Deutschland",,Jahnstraße,86399,Bobingen,15. Juli 2023
1197,12,Mittelschulen,"Theresienstraße 12, Gersthofen, Deutschland",12,Theresienstraße,86368,Gersthofen,15. Juli 2023
1198,,Mittelschulen,"Mittelschule Königsbrunn, Schulstraße 6, 86343 Königsbrunn, Deutschland",,"Mittelschule Königsbrunn, Schulstraße 6, 86343 Königsbrunn, Deutschland",,,15. Juli 2023
1199,35,Mittelschulen,"Hauptstraße 35, 86405 Meitingen, Deutschland",35,Hauptstraße,86405,Meitingen,15. Juli 2023
1200,,Mittelschulen,"Leonhard-Wagner-Mittelschule Schwabmünchen, Breitweg 16A, 86830 Schwabmünchen, Deutschland",,"Leonhard-Wagner-Mittelschule Schwabmünchen, Breitweg 16A, 86830 Schwabmünchen, Deutschland",,,15. Juli 2023
1201,,Mittelschulen,"Hauptschule Untermeitingen, Lechfelder Straße 55, 86836 Untermeitingen, Deutschland",,"Hauptschule Untermeitingen, Lechfelder Straße 55, 86836 Untermeitingen, Deutschland",,,15. Juli 2023
1202,10,Mittelschulen,"Albert-Einstein-Straße 10, 86179 Augsburg, Deutschland",10,Albert-Einstein-Straße,86179,Augsburg,15. Juli 2023
1203,18,Mittelschulen,"Friedrich-Ebert-Mittelschule, Friedrich-Ebert-Straße 18, Augsburg-Göggingen 86199 Augsburg, Deutschland",18,Friedrich-Ebert-Straße,86199,Augsburg,15. Juli 2023
1204,7,Mittelschulen,"Goethe-Mittelschule Augsburg, Schleiermacherstraße 7, 86165 Augsburg, Deutschland",7,Schleiermacherstraße,86165,Augsburg,16. Juli 2023
1205,41,Mittelschulen,"Herrenbachstraße 41, 86161 Augsburg, Deutschland",41,Herrenbachstraße,86161,Augsburg,16. Juli 2023
1206,,Mittelschulen,"Volksschule Augsburg-Hochzoll- Nord, Neuschwansteinstraße 23, 86163 Augsburg, Deutschland",,"Volksschule Augsburg-Hochzoll- Nord, Neuschwansteinstraße 23, 86163 Augsburg, Deutschland",,,16. Juli 2023
1207,4,Mittelschulen,"Jahnstraße 4, 86551 Aichach, Deutschland",4,Jahnstraße,86551,Aichach,16. Juli 2023
1208,5,Mittelschulen,"Mittelschule Friedberg, Aichacher Straße 5, 86316 Friedberg, Deutschland",5,Aichacher Straße,86316,Friedberg,16. Juli 2023
1209,2,Mittelschulen,"Mittelschule Kissing, Pestalozzistraße 2, 86438 Kissing, Deutschland",2,Pestalozzistraße,86438,Kissing,16. Juli 2023
